"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,17.3002563562728,7.5795284034755e-06,0.032789421871398,1.63093491147155e-05,1.09899053988538e-05,0.126769914750877,0.552210528301396
2,17.3786910355516,7.35004126307314e-06,0.0107396072105689,7.99565689200596e-06,1.03610156053773e-05,0.128710430731563,0.482935904455156
3,17.1890520959868,6.67122395561302e-06,0.0130761404003557,6.48322775724202e-06,9.75838966338121e-06,0.166471895818109,0.454175315691173
4,16.9241273782325,6.85886125837802e-06,0.0278429790696937,-1.18451060544873e-05,1.12603307307441e-05,0.161059679829663,0.487872088693675
5,17.7637821532807,1.25824108190449e-05,0.0546690861188566,2.01339818255062e-05,1.15197364978466e-05,0.0243650283843977,0.593557396049793
6,19.7927021455889,2.21600125044584e-05,0.105680941064808,0.00010531494634077,1.28899028802441e-05,0.00103647946499544,0.748487071031226
7,22.4022827822838,1.74996293986552e-05,0.158832070576415,0.000169743387753496,1.49939115613708e-05,0.0103993478272315,0.816499662179346
8,23.4158340512361,1.34870442844292e-05,0.154728023117073,0.000170126134188156,1.40798256500924e-05,0.0267567395095767,0.832168755822967
9,22.4701209095456,1.39084142644241e-05,0.126337686861411,0.000161902194863888,8.95262375243063e-06,0.00971637405271419,0.810461488308796
10,19.900220719046,1.30058408496087e-05,0.129616550773829,0.000166838774545466,4.04571165295819e-06,0.00802677992456059,0.793422620473034
11,17.1747508838076,1.27639719021484e-05,0.142205241021138,0.000181214320837385,5.59882971262147e-07,0.00643104057574772,0.79233665353714
12,14.3537627002169,1.32377902656306e-05,0.14934180741744,0.000167926786059258,5.0713931108154e-08,0.00289414021304041,0.802683312007514
13,12.7794831182212,1.50968011260923e-05,0.154891779402762,0.000199554883794044,-2.64443614424919e-06,0.00080430378521787,0.811998522765488
14,11.8528382600036,1.62263141764158e-05,0.163374894975307,0.000201995278984503,-2.50690968993173e-06,0.000357649174796379,0.825307574614845
15,11.3301100084649,1.76792738877042e-05,0.165145739212512,0.000204087274929287,-1.82250475804874e-06,0.000251330071287398,0.821874432581534
16,11.8101824117171,1.80275419599153e-05,0.168222577329538,0.000209247944836659,-2.54516342107213e-06,0.000885219671782789,0.780683020201215
17,11.8857164199854,1.77816909387357e-05,0.156692027869607,0.000180539872826662,3.34598142126095e-07,0.00111870341500363,0.773241556192579
18,12.6835246029505,1.79238813437219e-05,0.147549219889746,0.00017639144523456,2.1701346277899e-07,0.000194381810651596,0.810361472096307
19,14.5382161363395,1.62406710258627e-05,0.129135745923148,0.000181372926956555,8.6410032446611e-07,0.000899812193318356,0.78945884641977
20,17.4037882630976,1.61728759783168e-05,0.0992720690408055,0.000194839234554349,3.0049426822618e-06,0.0040201452841997,0.746335060335174
21,19.2349839780421,1.69234723931711e-05,0.0731775883725111,0.000205323725853297,5.06849223056088e-06,0.0084947708535462,0.708481993736432
22,19.3720377597388,1.61166997908446e-05,0.0669564930157642,0.000178664980468592,6.79172679585858e-06,0.00654732075351241,0.730582051601682
23,18.7136967521694,1.34138631561494e-05,0.0555773837585458,0.000138003358412021,8.65079598023294e-06,0.0159340178376574,0.714636262245306
24,18.2934097708534,1.04362589718092e-05,0.0522674659812439,7.79571905071129e-05,1.04787497468142e-05,0.0508246315148233,0.664160091914645
