"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,10.3503211910932,1.66519410640954e-05,0.0343691937879248,0.000128624291539221,6.66096015359351e-06,2.85204435557241e-05,0.815885221948491
2,10.6267448676643,1.39965626357815e-05,0.0238275000456384,8.91238230570707e-05,6.86027157561887e-06,9.5460656969864e-05,0.781775743269253
3,10.7534198589265,1.31102439181724e-05,0.0115441243275401,7.2165030233264e-05,6.71928135302447e-06,0.000120452832094067,0.752365364470266
4,10.3950876854793,1.20819856252791e-05,0.00276897356048638,4.47550064694056e-05,8.19105988168205e-06,0.000329261569769671,0.723253027534419
5,10.2178793107447,1.1755916376493e-05,0.00142671719008066,3.36570886690957e-05,8.75342690360277e-06,0.00068510046755481,0.697863644276986
6,10.7260889757592,1.32899137544957e-05,0.0157233941172962,3.97094428186602e-05,7.86177888962381e-06,0.000180819858623323,0.714096988888063
7,10.9273574533436,1.18821321377755e-05,0.0377043965140284,4.50621065452351e-05,6.83034198518443e-06,0.000633143784027762,0.71956583008259
8,10.5026402053803,1.16595743945172e-05,0.0380641149579074,3.02396810718902e-05,7.04220267347147e-06,0.000204273487175022,0.743078390979873
9,9.76426984852149,1.2556125396764e-05,0.0428410274345426,4.67038448075826e-05,5.19054602787352e-06,1.08118457709832e-05,0.788350264059485
10,8.54847197307716,1.29772775384808e-05,0.0518838797523416,5.38865639598359e-05,3.88445490891206e-06,9.85520621818795e-07,0.820462832276657
11,7.51955370531866,1.36261982426219e-05,0.0693906721620043,6.44806627000072e-05,2.40687158617166e-06,2.98247203866546e-07,0.837608643225232
12,6.26051350793196,1.40534499781927e-05,0.0845302198784303,7.86521655511024e-05,1.45127676895823e-06,1.36270145607153e-07,0.859454966009326
13,5.29909232756091,1.36171096852656e-05,0.103651710927147,8.12411314226586e-05,1.3252689350286e-06,1.61212905872323e-06,0.853279076934685
14,4.64648819386797,1.41614392917873e-05,0.100275329656395,9.96078796009929e-05,7.43087332685426e-07,3.22654710992134e-06,0.842249259291051
15,4.07158443079716,1.46397956028953e-05,0.0933362307948316,0.000102784839208687,1.3759467922751e-06,3.36837118102635e-06,0.838931456033273
16,3.98967785779281,1.59258109812204e-05,0.10177049764217,0.000109242726491276,1.23529519527664e-06,2.57179390292638e-06,0.838037857242519
17,4.13621921929221,1.75467734262909e-05,0.101163113467467,0.000118052657798014,1.24708777350295e-06,6.44566909442202e-07,0.846042898846685
18,4.3756853663483,1.62507800254287e-05,0.0892693259828601,0.000101853409603367,3.00423609728268e-06,8.07021282325677e-07,0.853623378016623
19,5.10669692554849,1.7410797357634e-05,0.0842900842043801,0.000107353881133822,3.70758907702916e-06,3.09143692500443e-07,0.861123068717722
20,7.20367914578051,1.83883384422051e-05,0.0969609033704817,0.000144214870282877,2.59466927020791e-06,3.25007892538847e-06,0.844607764356311
21,8.76417623133865,1.7577760440972e-05,0.111151801616619,0.000129887983834258,5.79916449414835e-06,2.89657947802204e-05,0.8481270016642
22,9.04570376131137,1.97422394466986e-05,0.100952158639987,9.68174230701656e-05,9.08851644198525e-06,2.94475031570867e-06,0.861667251885298
23,8.72458134452185,1.92406069261882e-05,0.0936566612435449,5.34394812623577e-05,1.16521124292226e-05,1.89452257041243e-06,0.8638837055997
24,8.53718940577987,1.68658022814246e-05,0.0873596554678925,4.24553629214226e-05,1.16476312977856e-05,1.84793158675525e-05,0.844707919145089
