"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,24.4155434294962,7.71029316012724e-06,0.0389781419725725,4.66346942636868e-06,1.01730727836868e-05,0.0285014322119096,0.68167297239574
2,23.5790502897828,6.94093376724687e-06,0.0154962550014606,1.33280394547981e-05,8.6866497356628e-06,0.0248390778839461,0.662021383128999
3,22.8556505939148,6.10474170480943e-06,0.00416796065364488,7.39225766401616e-06,8.18321569033973e-06,0.043304650305959,0.601652951886424
4,21.9953348644516,5.45618545667252e-06,0.00611339603719369,-4.81589249236418e-08,8.45543443727921e-06,0.0722000869461385,0.583660877321317
5,21.3052129893619,5.83067472072968e-06,0.00826757561967449,-8.20869139678738e-06,9.44549069218363e-06,0.0680411823949224,0.589101527338682
6,21.5537177117638,1.02895495718784e-05,0.0241911067353854,1.18478722456211e-05,8.41166417115602e-06,0.00262995308675181,0.662435547767973
7,22.1853210657156,1.9112206023146e-05,0.0595241693280416,5.27409234163426e-05,8.97427282153012e-06,7.48220828645328e-06,0.787632075593179
8,23.6863375891713,1.66321156363794e-05,0.113471417419417,9.12406335145574e-05,1.04030245662226e-05,0.000106133861256891,0.853367373827523
9,25.3177033884861,1.5087726170202e-05,0.126750781144998,0.000106451655547366,1.17982713962623e-05,0.00048943009372256,0.87012630443576
10,25.0817515874492,1.68777266729369e-05,0.112335785132137,0.000113024509101825,1.13976323415183e-05,8.84928468654421e-05,0.873278940679479
11,24.6771028333834,1.64412090141736e-05,0.106937228544021,0.00012053266021772,9.69011147144049e-06,0.000141142668973719,0.858766809665333
12,24.5343334256492,1.52066587169294e-05,0.101751845980443,0.000120865644855294,8.34443933262903e-06,0.00025557748005417,0.849178988893679
13,24.4004475144267,1.5440688513051e-05,0.100947163086332,0.000119050493029088,7.36917304954591e-06,0.000122977182489507,0.849882034581623
14,24.5588116594734,1.41886273945167e-05,0.1101996636639,0.000123782694830761,6.34787327509018e-06,0.000275904071026102,0.85124322240577
15,25.4322592556916,1.39805413599192e-05,0.114051116031879,0.000147020880945691,5.44590895142434e-06,0.000363504089490181,0.858580250012344
16,27.0713409017738,1.45081195264617e-05,0.11591104699426,0.000144596612376847,6.98363141898785e-06,0.000505619488155044,0.856319850731228
17,29.9455315551913,1.41608615817462e-05,0.108298738757665,0.000151110179224434,7.37350825376656e-06,0.000860548136842758,0.852593136846614
18,31.6170465709971,1.49427785735701e-05,0.0952352607810923,0.000125747739451301,8.72148730315764e-06,0.000439846183701665,0.844073998080067
19,31.6107914908319,1.59746285189581e-05,0.075187802344784,0.000105845856576667,9.54767773413228e-06,0.000229679697043861,0.824497882441222
20,31.2259232593287,1.45171817969686e-05,0.0517242213534588,0.000100263595928358,9.30905917875688e-06,0.000420738953810059,0.808503903464686
21,30.399586677587,1.12507280454314e-05,0.0458262551022232,7.52989790885648e-05,1.02849370687315e-05,0.003449372522916,0.793767991646675
22,29.4746036925943,9.48049584699397e-06,0.0413255624624276,8.21352986216897e-05,9.09199770530076e-06,0.0066379600058858,0.800638762151457
23,28.2808026959682,9.53704315055573e-06,0.0382691203653974,5.75054014206073e-05,9.76944406988765e-06,0.0060188827054526,0.781343481128057
24,27.2395809588248,9.29787036374374e-06,0.0358451506963503,4.79842419777636e-05,9.30082354814351e-06,0.00463585346211293,0.77542363761914
