"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,19.4402231395727,8.12619655750674e-06,0.0529037646572383,7.34908517300015e-06,8.14215813915464e-06,0.00263455464806719,0.770915216818975
2,18.8611497985203,6.16270323574958e-06,0.0324035334115696,-9.28703962255199e-06,8.47777334699604e-06,0.0200620642529641,0.691655467195259
3,17.8534527815648,5.28885613493056e-06,0.0246167713804686,-1.88721013531305e-05,8.14494084763616e-06,0.0406605703398389,0.630164145604402
4,17.0627179963806,3.7740669802402e-06,0.0245294629804586,-1.94777920605301e-05,7.59563989967949e-06,0.147995731997435,0.568577958847137
5,16.07011867035,2.97426827441905e-06,0.0343426612661351,-2.83547614160532e-05,7.98992828992108e-06,0.266552989407777,0.56335706003429
6,15.1723789921097,3.4898556397712e-06,0.0307239246580943,-5.22353338873106e-05,1.0071141174753e-05,0.252029807612404,0.526038186478065
7,14.8812590476229,3.69684613340517e-06,0.0321405972023939,-3.89978989814383e-05,9.66174281341841e-06,0.252942928077344,0.525125533013684
8,14.9382722761295,5.06789432839872e-06,0.0441429499456644,-2.28770826546279e-05,9.54346643071411e-06,0.133758736911492,0.593712736052691
9,14.931762101171,5.89989154671248e-06,0.0564772836943281,-1.14426468825477e-05,1.07614910910566e-05,0.123362832021784,0.639174943741155
10,14.2970764291788,8.25772257462789e-06,0.0650059880968678,-9.43457370551236e-06,1.22385712713513e-05,0.0475890492789752,0.680141835473351
11,13.9190579976542,1.05608548077653e-05,0.0599385499062363,2.32762911786327e-05,1.03430590078139e-05,0.0063860394857533,0.734329264938412
12,14.0813426022517,1.17727809040761e-05,0.0635114536189181,6.21434845861395e-05,6.81372491504757e-06,0.000586164862891739,0.784846142885913
13,13.8853612726354,1.1136056677849e-05,0.0675656323718981,8.32442264854932e-05,5.37037721158811e-06,0.000360213159107393,0.819018606948618
14,13.8144568632748,1.0938331509392e-05,0.0827076211231923,9.52489909550757e-05,5.22358960555823e-06,0.000583163358352584,0.836188801603798
15,14.2067968587363,1.16747833110362e-05,0.0897741508485776,0.000104917624052649,5.43169522435599e-06,0.000305101822100709,0.853390119414911
16,14.6327239180565,1.15011590400341e-05,0.0999708054249648,8.20449647353312e-05,8.7464545159699e-06,0.000282862953256129,0.880741122344714
17,15.9394876912119,1.2490197001893e-05,0.0900986448885499,9.13129434298606e-05,9.99149113394072e-06,0.000120876434165881,0.89043091407504
18,16.8144873336828,1.2551497761973e-05,0.0700754986694903,9.48675015541681e-05,1.04455762353206e-05,0.000423076663394169,0.86317659152964
19,17.1113311977974,1.09166869760418e-05,0.0582656591025277,6.99607431816955e-05,1.08079525789903e-05,0.00243320104072007,0.826427057591029
20,17.2080167165654,8.07232707339825e-06,0.0523631491583165,4.44568844314851e-05,1.16994606834177e-05,0.029502642982008,0.779497586372472
21,17.1359361428592,8.09536529447729e-06,0.0482794337926496,7.10541158234774e-05,8.8842133498877e-06,0.0136467489100312,0.802366991481995
22,17.0851864997572,7.69467418163057e-06,0.0422319192908995,6.99289456645368e-05,8.12468015137796e-06,0.0122303510488494,0.801250175013183
23,17.0524966332778,6.77435827673353e-06,0.0471192497194495,4.63718354704994e-05,8.485715238844e-06,0.0202812719691851,0.791638560524549
24,16.9193042905827,7.67839740437828e-06,0.0425901977093878,3.16673217141447e-05,8.50967656065503e-06,0.00667452095292136,0.783001001238114
