"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,22.6104696247382,5.5356821272909e-06,0.0291232118894614,1.84933745793554e-05,1.02145472388034e-05,0.10847557900474,0.684224516386117
2,22.2022938301601,5.45558146978444e-06,0.0157086185628273,1.44819033771422e-05,9.23141241532232e-06,0.0920629958623745,0.646679976166488
3,21.0496217402124,4.72077171625936e-06,0.00856465329839262,6.32072742044877e-06,9.33021447621199e-06,0.134163987320304,0.620196900924866
4,20.2089532223359,4.92031893395478e-06,0.0081275833893542,6.65404189104417e-06,9.03271560516502e-06,0.126425231232797,0.599162566420435
5,19.8751608123313,5.76501202932257e-06,0.0129773195210198,-5.61702257500191e-06,9.67503620395799e-06,0.0828101452270182,0.595980112448727
6,19.9356070900971,9.94592743697619e-06,0.0271774300276709,1.55613946501728e-05,9.9595457479101e-06,0.00687170078780746,0.682710988041165
7,20.7064105822081,1.90860480753044e-05,0.0768058911655945,6.12154759262878e-05,1.17593723716289e-05,6.09730180143748e-05,0.801498332508103
8,23.483833899566,1.64192170587321e-05,0.143134417142715,8.52236961039558e-05,1.45938791625305e-05,0.000949647756690747,0.854689830474649
9,24.835477290218,1.36109953658903e-05,0.151677366041038,0.000101029979546287,1.6473363899165e-05,0.00381766160952024,0.882162808101873
10,24.6470088386082,1.73150413019779e-05,0.129417997377653,0.000104583916547049,1.39522909575869e-05,0.000199946787150765,0.87503883524827
11,24.4274952066693,1.62965107606976e-05,0.108876309397319,0.000126581530378147,9.09343249427732e-06,0.000235776159883691,0.85022049436433
12,23.2266941086143,1.56880567932719e-05,0.103350799610915,0.00012900689055581,7.14960424512794e-06,6.34328475828795e-05,0.864625102311067
13,22.1248356720461,1.56910583978926e-05,0.105743788057226,0.000123818966952628,6.47124470544153e-06,2.12373557435285e-05,0.874160796902464
14,21.5408358417319,1.56203367016441e-05,0.108482955721997,0.000130410340580987,5.83755014827494e-06,2.21903611711997e-05,0.87469260519602
15,21.6149758365364,1.56605078349282e-05,0.119452489227831,0.000125612177022128,6.79563209585745e-06,2.45675610739693e-05,0.883053095266076
16,22.5278119234078,1.61061730561355e-05,0.131025731216852,0.000123759407042817,7.76933160208122e-06,2.97084823636041e-05,0.886848949792601
17,24.1291343225198,1.48641553303394e-05,0.132322546342857,0.000122826234189389,9.126834378252e-06,0.000163530557986853,0.884952550970495
18,26.4380867818143,1.48875862056511e-05,0.119909990281223,0.000118562515183453,1.1102126086481e-05,0.000489092100588026,0.870971103287559
19,27.7780217723589,1.57882407445608e-05,0.0909977816721132,0.000122196294417795,1.18444654028061e-05,0.000272817389639022,0.864829905846604
20,27.5693259600946,1.28508663084007e-05,0.0680279937625289,9.60149223102135e-05,1.33386014429491e-05,0.00399921565145605,0.826913926105999
21,26.9472244831182,1.10537289852192e-05,0.0488277118637714,8.40311298851092e-05,1.30129902330767e-05,0.00923048046594321,0.808213243843008
22,26.3214760552937,9.75019716545516e-06,0.0410522655645031,5.62557424818027e-05,1.33223230492652e-05,0.0153951197325104,0.790674008130992
23,25.2813719573835,8.3786820669742e-06,0.0411873415610963,3.44860118570662e-05,1.36557561264204e-05,0.0346946164971292,0.768379840736123
24,24.3697549253822,8.39098877746994e-06,0.0386756597386801,2.4843759510425e-05,1.30167356843852e-05,0.0304082831705604,0.750150781614577
