"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,18.5792789235476,8.06774718135006e-06,0.0407569627658977,5.06979134152247e-05,1.01821323582878e-05,0.0220486883156653,0.765997575572682
2,18.2574789644823,6.64924096360173e-06,0.0315955687104047,2.89953809035002e-05,1.01543977276325e-05,0.0531848406995985,0.71748887848746
3,17.5004652532552,6.39605962021008e-06,0.0141618442485548,7.81546532245021e-06,1.09230920955592e-05,0.06799191418305,0.66073266842154
4,17.1929945560481,6.34791573862297e-06,0.00768414959727536,1.24404356868482e-05,1.02106738200196e-05,0.0628962709505321,0.648288809329654
5,16.6642978030315,6.91060858746606e-06,0.0106446505710527,-5.23237129306247e-06,1.08906068012694e-05,0.0482209444139295,0.629681333804999
6,16.3434372903686,7.00703134249457e-06,0.00352654013004493,9.71323701168394e-06,1.005260686605e-05,0.0483848595644211,0.61690024243876
7,16.3489433604592,6.01620184866536e-06,0.0160364299955328,7.23312082455585e-06,1.06213601250234e-05,0.112680949303666,0.61029297888655
8,16.9559370948043,6.17205449713805e-06,0.0247462609699011,3.59196625817039e-05,9.31672556488239e-06,0.127750386585212,0.616751238966178
9,16.4325776710438,5.9323486794481e-06,0.0320755425846709,4.95088676355777e-05,1.01243957360013e-05,0.13191132903375,0.691112185567627
10,15.6335902336838,6.91709968692978e-06,0.0447433145139873,3.69594367319622e-05,1.08771860814579e-05,0.0570091136802129,0.744705308782939
11,14.7798199717966,8.63866857191631e-06,0.0602067729220831,3.14058178774902e-05,9.95434990300524e-06,0.00781522239470889,0.791240725189023
12,13.8182314846895,7.23432135953102e-06,0.0781413182609934,2.19836480992979e-05,9.87766403027317e-06,0.0132108677528051,0.822878125158923
13,13.043531751889,7.52776956729711e-06,0.0974387653130625,3.35520878853093e-05,8.3051573614095e-06,0.0052333620952868,0.855391431648715
14,12.4916068265101,8.94267560466248e-06,0.109666817979567,6.03952861893366e-05,6.51167955642686e-06,0.00206820117942123,0.856436093592286
15,12.1710917513424,9.14260682899335e-06,0.111527544713076,7.24033165631874e-05,6.27256932044954e-06,0.00156149188128941,0.867503998249054
16,12.5290702396393,1.00865593529484e-05,0.111797026880659,5.34409738146508e-05,8.15755598793414e-06,0.000744150501697501,0.869623221929187
17,13.2516429504768,9.95844537209617e-06,0.112264533971038,5.49360704644255e-05,1.00070207289523e-05,0.00186022076196945,0.87103243248537
18,14.6737142851704,1.16992360997788e-05,0.102495988262575,7.36266603095091e-05,1.19631859845117e-05,0.00152024048998299,0.867332082200409
19,16.3768949950206,1.21893457779438e-05,0.064304703151825,9.57444057124422e-05,1.33714900925325e-05,0.0060236913340753,0.823588986889519
20,17.3386608163094,1.20524785436318e-05,0.0485456582443065,0.000105062488380979,1.27566459702566e-05,0.0126801290647143,0.783663827834047
21,17.8406535120888,1.22082394389859e-05,0.0546532308641408,0.000110862891549226,1.12254600928238e-05,0.00628695880477967,0.802441040454013
22,17.9692205715878,1.12440159814346e-05,0.0515069736268287,8.87003958454464e-05,1.1320455392221e-05,0.0064616359759394,0.802526335116561
23,16.9481093242489,1.06503264668927e-05,0.0337098435670333,8.59352949103098e-05,1.2110632491539e-05,0.00579700664830808,0.817036309069347
24,16.7104607647102,8.67451731259031e-06,0.0355334109539407,8.72054139884346e-05,1.08626029987237e-05,0.0154132509493837,0.815626703938558
