"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,21.5228570567006,5.26333629451727e-06,0.0193055015401975,1.35264438342377e-05,9.65199716479059e-06,0.0937046870351384,0.678326947997534
2,20.8162440884428,5.10467579071132e-06,0.00107882979473634,7.52330313046094e-06,9.2086103606197e-06,0.101044245129461,0.614232795573514
3,20.1050329856263,4.9885685393065e-06,-0.00407578915610037,-8.55679728699737e-06,9.54862237021417e-06,0.107658490079194,0.571164406358397
4,19.502665544055,6.11770140868868e-06,-0.00284054515004129,4.54225633176403e-06,8.29790629637011e-06,0.0474490342366194,0.572376401009365
5,19.3091286626551,8.1820413446806e-06,-0.00376651270275748,1.10899722815148e-05,7.93103100902309e-06,0.0113388613862312,0.583255696362292
6,19.6879204447132,1.2614138964651e-05,0.0143511037529759,1.94592883860746e-05,8.61193453623797e-06,0.000715916398733496,0.659744894131023
7,20.6665453014089,2.35793049709938e-05,0.0475107821869635,5.69437957709089e-05,9.75845335636741e-06,3.37588900440616e-07,0.801572923468893
8,23.1082405642989,2.13517854609495e-05,0.0967666926374307,9.11360831474602e-05,1.12317649330138e-05,5.41223254547201e-06,0.849949430301443
9,24.9991574327037,1.87055468428225e-05,0.110338915663253,0.000118304292061106,1.14986248610114e-05,4.82209630627493e-05,0.86593356730111
10,25.1206897046166,1.93853990738209e-05,0.0942390335364928,0.000132878034889502,9.6187735623221e-06,1.79668021083801e-05,0.860814881666807
11,24.1359565428159,1.75742218962764e-05,0.0846925198367178,0.000120136656254088,9.18945097712807e-06,2.69385303542462e-05,0.857836378736105
12,23.3339757674299,1.52299493797373e-05,0.085020747201424,0.000107034870634434,8.53648901916449e-06,0.000141544790051067,0.842840892496251
13,22.7386597823335,1.45252446946912e-05,0.0912345399642685,0.000101915862993226,7.23184740879357e-06,7.64085055222268e-05,0.851980018502574
14,22.5119038628845,1.42982724250469e-05,0.0941709780957914,0.000119285794143831,5.66153461666716e-06,6.84193429393212e-05,0.856318115636183
15,22.9996429595109,1.54358563206633e-05,0.105056152943628,0.000125749383270264,5.6780698156216e-06,3.22654854242645e-05,0.865072531496673
16,24.3222430892818,1.56877931738385e-05,0.109703562968538,0.000133212266934946,5.90427731883039e-06,2.68947013957215e-05,0.873959697993716
17,26.6985875544628,1.55957410532794e-05,0.102481761683762,0.000138853827736482,6.99091156493679e-06,0.000137562032301112,0.856385204286147
18,28.2206985253384,1.58343060464371e-05,0.086228021821861,0.000119332352486474,9.66572582441562e-06,0.000173641276594769,0.850510930070854
19,28.0286366242519,1.65867906122287e-05,0.0677604294514333,0.000120679810149621,9.13365657185787e-06,8.57433589955946e-05,0.839392814897051
20,27.3724181365748,1.45742867970236e-05,0.0436744857139836,0.000110677282620827,9.09076864963658e-06,0.000223087950399581,0.824487980433834
21,26.4844183903368,1.18932224185595e-05,0.0308126396231605,9.42036370416504e-05,9.57618003901811e-06,0.0014272658696958,0.806600406507066
22,25.2855824043136,1.08408709366447e-05,0.0266044086317073,7.93235015952172e-05,9.90504752934989e-06,0.00214679689995068,0.803435345423138
23,24.406531958228,9.3307424188835e-06,0.0303507114135952,6.02017281379799e-05,9.98569963148346e-06,0.00590294792871102,0.788390165685997
24,23.8314252446553,9.37222778665513e-06,0.030638187352162,4.64508254617084e-05,9.63915930985187e-06,0.00329790834828147,0.786167728059283
