"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,18.7919261738241,6.12186783535215e-06,0.0443224711434609,2.85170574406197e-05,8.01584530823001e-06,0.0385203410737698,0.735115057285304
2,18.00432472483,4.984186305102e-06,0.028747384867357,1.80789950447229e-05,7.88983387560379e-06,0.0577742519799242,0.71981803340998
3,17.0127463346738,3.21603214413875e-06,0.0152401907411554,1.8390749929243e-05,6.61630967081797e-06,0.181846903713729,0.657816789151165
4,16.1341358878336,3.19645752356644e-06,0.0150608463713069,6.36004105815444e-06,6.77456497482022e-06,0.203125391354344,0.602556817194765
5,15.31762542923,3.57730012529917e-06,0.0118485106416339,4.78810204108234e-06,6.90057811020771e-06,0.182228096398307,0.567579922113103
6,14.6557006173995,4.2343140328271e-06,0.0124277992149737,-3.06613886073091e-06,7.73920515195617e-06,0.132790901579631,0.571618213021699
7,14.3166599338435,4.97573066523647e-06,0.0178922783441758,6.68996346546452e-06,7.48008518946635e-06,0.0773869374087418,0.615892895922463
8,14.180004070008,6.30868040393482e-06,0.0227861151957539,2.11008706201488e-05,7.60259555912735e-06,0.033977763902718,0.665398823647345
9,14.5452279232135,7.29587723846447e-06,0.0249629662799027,3.15383574408968e-05,7.88685761268749e-06,0.0134804675733933,0.719295518328498
10,14.1040362843849,8.54701408849167e-06,0.0377721215771884,2.59942488951711e-05,9.53532826125002e-06,0.0062583668731322,0.761523474306721
11,13.7760540037654,9.64756091940253e-06,0.0446198284632225,3.41891358320867e-05,9.13535775215479e-06,0.00244114305248869,0.77729830686266
12,13.3912842873175,9.55900463763422e-06,0.0494660383219441,5.18552006886964e-05,7.69549814420563e-06,0.00157733749816955,0.797364759466359
13,12.9777020843279,1.00568122334916e-05,0.0562298812727614,6.51254820679802e-05,6.95213125875826e-06,0.000748731866573116,0.817831430286945
14,12.8828485745232,1.06611818386869e-05,0.0713379847567171,8.86979025107423e-05,5.55868436139802e-06,0.00051445129417741,0.83310378033438
15,13.2025706031878,1.04686142036404e-05,0.0766842331317177,9.94392950494403e-05,5.34837763032108e-06,0.000676105130960629,0.843264557040082
16,13.9700806677702,1.05596582492704e-05,0.0828118636229345,0.000102867411372029,5.87289248118214e-06,0.000695111029362707,0.855066044773999
17,14.899611133014,1.25111585191901e-05,0.0788531933924308,0.00010650399187652,7.82406284185383e-06,0.000160737590538602,0.870302871056997
18,15.8842349331169,1.31519095976998e-05,0.0660049973013644,7.92076168175391e-05,1.24275398022487e-05,0.00105176837562746,0.837870617467116
19,16.7384551161276,1.26546326452004e-05,0.0434403680541157,5.25440323873674e-05,1.40298733459194e-05,0.00429294247793306,0.781687227449595
20,17.3703262710234,1.14034343913839e-05,0.0392341757612407,8.14102562278863e-05,1.05507282745314e-05,0.00574253274827501,0.773859383972103
21,17.7483277040945,1.08815022771332e-05,0.0475661731482291,7.65729849840953e-05,9.35095229617491e-06,0.00533888072759656,0.773000507143085
22,17.4135464169042,1.10477516293484e-05,0.0438153959306393,6.93717656732871e-05,8.8723619564313e-06,0.00179158152570882,0.790897883913782
23,17.0535454393584,9.44994753161784e-06,0.0314314878194649,3.29804915783125e-05,1.05928372046012e-05,0.00738038712440642,0.748668889297269
24,16.5998627798061,8.83220554526478e-06,0.0327630868744566,2.54202207871567e-05,1.02671119335796e-05,0.00984185278697351,0.737431934057361
