"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,11.8437355888756,1.3334275946098e-05,0.0131919930100231,7.82996376016326e-05,4.92237897795437e-06,0.000952069481235079,0.639228058328329
2,12.0842623974284,1.12270607975282e-05,-0.00456571088066534,7.08088325347935e-05,4.28276696313322e-06,0.00217315299729235,0.586422604846451
3,12.0662251803501,1.03908171454397e-05,-0.00958832084581185,5.66687445394189e-05,4.64889360329401e-06,0.00318269606504858,0.556726597725987
4,12.3167848831024,1.14053596869003e-05,-0.0096041610797513,6.53524266768413e-05,3.94143202735512e-06,0.00144757723317734,0.563281724327821
5,13.0633392127032,1.72465680210435e-05,0.0249104087126955,7.75927454915643e-05,5.01638491664783e-06,9.45231705358411e-05,0.666989059982157
6,13.6931419041769,2.79494889419587e-05,0.0765527424844525,0.000141606452604362,6.37930627041165e-06,2.0661906931072e-07,0.82236583121496
7,14.4540660467697,2.32703573075714e-05,0.129227488900621,0.00016347706740772,9.00270767762212e-06,2.56485190191334e-06,0.879829676251956
8,14.1083043717736,2.25566775058666e-05,0.118684835256043,0.000159099817640666,9.30545460082333e-06,1.88025645062165e-06,0.884597754569197
9,13.41751872763,2.24757029057892e-05,0.1098872780733,0.00016303229404775,5.07289718362237e-06,3.2916409588235e-07,0.876302397440356
10,11.7784311833666,2.10770632800143e-05,0.116706019439108,0.000170510817465039,3.12883177841765e-06,2.24144348687706e-06,0.857706322152306
11,9.98760145549067,2.33400126410111e-05,0.116744146119801,0.000176964192442063,2.07427271680244e-06,1.21982540079291e-07,0.870804670722701
12,8.56111266470831,2.37656768545823e-05,0.125335405118498,0.000191002631330885,2.95101087838188e-07,1.17349952476416e-07,0.867775329946897
13,7.65700067141152,2.36114709320192e-05,0.135713472996178,0.000200741771167247,-8.2260032228561e-07,1.22646028372939e-07,0.871333962512624
14,7.06761608514447,2.55308166395154e-05,0.128454301654394,0.000218465100834758,-1.22466629600725e-06,9.29473431662481e-08,0.864003332529921
15,6.88168499045588,2.76788229216577e-05,0.127718008123225,0.000232486843183495,-1.9773859064931e-06,4.10769600231385e-08,0.861262061472837
16,7.0097517466545,2.76052908894476e-05,0.129230143204448,0.000217194638988439,-1.34402332482536e-06,1.39479286262759e-07,0.84418051732675
17,6.85032212339418,2.85718560985193e-05,0.119144244280896,0.000198047389576312,-3.07389323168875e-08,6.32424307120282e-08,0.840977064195412
18,7.02663191871459,2.70906119136809e-05,0.108219496992958,0.0001722766650244,6.8909508213402e-07,1.55492279342569e-08,0.85116678458801
19,7.84615268626897,2.24253456454255e-05,0.0954044153006159,0.000164089026484064,6.96224172656057e-07,3.82395440935538e-07,0.831546994760036
20,9.48474869427787,1.86189647082262e-05,0.0905534259617325,0.000164385379625742,1.19352886862984e-06,5.49246544247023e-05,0.784222813676808
21,11.7542562214508,1.90724306494996e-05,0.0826448804805294,0.000174357039237955,2.06387203895502e-06,0.000147013336404175,0.766324891341401
22,13.1360175489243,1.99519056785247e-05,0.0765304116570833,0.000159419605474845,3.80991630074088e-06,7.85270787230835e-05,0.773513106138046
23,13.1187822660917,1.82277453571812e-05,0.0674508774018885,0.000123678535343405,6.10052647326699e-06,6.65540541910508e-05,0.788945046384307
24,12.4136820792562,1.70231417820817e-05,0.0422325565158986,9.07213176706425e-05,7.63090582139488e-06,5.59780512495651e-05,0.776236619976399
