"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,11.999355904573,1.16407203121932e-05,0.0239967341787197,4.85347762612668e-05,4.48348285450834e-06,0.000335633024404651,0.665003971512508
2,11.9880816061962,1.05189786301533e-05,0.00769419912240573,3.44724024897128e-05,4.39522147255403e-06,0.000438849428147999,0.609886819778175
3,11.6766175960914,1.00486937770835e-05,-0.00417094132649969,3.96708989174991e-05,3.95600522923738e-06,0.00068817223365701,0.572516453426142
4,11.388909612594,1.18271976008257e-05,-0.00221071569088298,2.55703692300899e-05,5.57525804425231e-06,0.000197591124240328,0.608708471355022
5,12.1482992438562,1.91995184003074e-05,0.0269756112329074,8.83379284263455e-05,3.70498734543536e-06,1.53936134720232e-05,0.683212232391336
6,12.8247638542235,2.76388641115008e-05,0.0920973385465493,0.000190170340680919,3.30723018946842e-06,1.24180264411245e-06,0.811065512050915
7,13.5772088505354,2.1054754828056e-05,0.13979708492704,0.000213740356384103,6.2756958638888e-06,6.92909375028375e-05,0.861770115733803
8,12.8850297401787,1.92439387641547e-05,0.135948411977627,0.00022038426060316,5.96936131305452e-06,4.90805291708994e-05,0.883884732664459
9,11.8380045732824,1.91890669073815e-05,0.123469203949319,0.00020714159208239,3.16367780382824e-06,1.88590898233603e-05,0.869496633217437
10,10.9894480304345,1.87546168871232e-05,0.119604677955153,0.00022368798963524,4.08405239100193e-08,2.30815727085249e-05,0.855416524139624
11,9.87435378366072,1.78527121554008e-05,0.123663024766112,0.000211184868669704,1.93096258220348e-07,3.62233597138784e-05,0.853782888992999
12,8.68232952916934,1.8683967849152e-05,0.124776915895862,0.00021654900644324,-6.96527057793566e-07,2.27443621457892e-05,0.849130573845869
13,8.06104637845493,1.80015857037352e-05,0.137225735281943,0.000230454503357139,-2.29088203556402e-06,8.01557631027076e-05,0.837809414287167
14,7.5705288150918,1.72563590129796e-05,0.149420619671332,0.000247710683433521,-2.94737061620647e-06,0.000228293840331794,0.839166582321386
15,7.19503369784168,1.96007140151641e-05,0.158563982305566,0.000246084499510227,-2.62044139845233e-06,9.0362218517799e-05,0.836924972346392
16,7.50123813432634,1.89601772866931e-05,0.146829539710584,0.000259189659362495,-3.43480441317961e-06,0.000593334500550457,0.793008596459253
17,7.32394386333206,2.0067047825027e-05,0.129664154899824,0.000254400185612934,-2.97121906046558e-06,0.00023843468110287,0.791714404812363
18,7.22066954455975,1.97610633006798e-05,0.111984979083335,0.000220768576645992,-1.64424428519961e-06,2.21870879602588e-05,0.823575631913512
19,7.91603300253701,1.79918018258974e-05,0.0877620910676683,0.000190308925470614,-1.94761270764334e-07,3.82335273301316e-05,0.806227732451307
20,9.11953547255135,1.48914144754685e-05,0.082022634022648,0.00017754101642413,7.05577346232542e-07,0.000727769216255195,0.772108486340658
21,10.8169266192847,1.57532049417166e-05,0.069585605594365,0.000176590136985487,1.53427986886286e-06,0.000913015044306864,0.746183122604258
22,12.1219238079211,1.64622167189102e-05,0.0768350755496088,0.000182028371800384,1.89843781591591e-06,0.000443076590491499,0.775708808142474
23,12.2057015654127,1.59611903874124e-05,0.0651706406821431,0.000156281875412058,3.31601805287862e-06,0.000145815849043531,0.79733353536231
24,12.083855029778,1.56735044501376e-05,0.0487259434218968,0.000119514658459435,4.47512647359492e-06,5.39168050924136e-05,0.788040009576288
