"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,10.3527661012468,1.4308691576418e-05,0.0546527784180397,9.27100782058053e-05,5.76793425079075e-06,0.000620547795200123,0.737536032778086
2,10.1701962540778,1.12817165194538e-05,0.0302477370118257,4.62940408246443e-05,7.64274745363298e-06,0.00169130103561856,0.708857441277058
3,10.400278320207,8.91425321407151e-06,0.025196395684268,4.50390644544011e-05,6.28871359126973e-06,0.00851235365093538,0.654852985093519
4,9.94917025829784,8.66832873869639e-06,0.0196354418545629,1.81974915794825e-05,7.71284038739198e-06,0.00705933574092456,0.650860059170167
5,9.66892813606953,9.578865527363e-06,0.00735981659781805,2.87975652137034e-05,7.12524520733554e-06,0.00253988450249302,0.653641382023736
6,9.59522106617065,1.06545548759374e-05,0.004349509905559,5.49134178311877e-05,5.49038647288532e-06,0.000388929607256337,0.699445443770871
7,9.88075944331409,9.66983508757354e-06,0.024333979379821,4.10293782925609e-05,5.23136440597508e-06,0.000722880969060534,0.701862290408334
8,9.29898684133231,9.49307130189858e-06,0.032602761781882,4.65758512530903e-05,5.0913205074789e-06,0.000567828947081116,0.73966540515597
9,8.55925091816268,1.10569295151607e-05,0.0422085486530919,8.08923458077908e-05,3.2050825350802e-06,1.72969876949545e-05,0.818315931383215
10,7.85685981051173,1.31154147512315e-05,0.048696208669821,0.00010408562905229,1.28373627211425e-06,5.63261296604522e-07,0.842020285685829
11,6.79186760442794,1.43685796062174e-05,0.0681931342334518,0.000113502157342196,8.98776794670912e-07,1.42767662162154e-07,0.865647688997543
12,5.91115311150174,1.43135115544865e-05,0.0885580971102643,0.000120147164120769,9.82003350707469e-07,9.01030562938574e-07,0.868069286894024
13,5.10896114820884,1.49933449880649e-05,0.0945671444999049,0.000110246142893379,1.91901230713521e-06,8.02214723313622e-07,0.867747878663923
14,4.68209126183897,1.59686322736744e-05,0.0972181904463839,0.000126980529073355,1.0706259234013e-06,1.53985066110782e-06,0.854309567240456
15,4.60286039796788,1.65499882914296e-05,0.0962058184871744,0.000138633770511169,2.19582895235808e-07,2.65671260568155e-06,0.839083058933887
16,4.68283208995582,1.78221685396294e-05,0.087462531100179,0.000176383391965694,-2.03720506667414e-06,5.21078920168517e-07,0.848242214505003
17,4.93274258315953,1.6694713330233e-05,0.0983585161567054,0.000180738813868217,-2.22721672478609e-06,2.95610008177179e-06,0.846736625728822
18,5.05826882362873,1.86899785390055e-05,0.0832304122919644,0.000159235121761792,-1.10677498503013e-06,4.55991046961323e-08,0.861786341074738
19,5.54577986521491,1.95063979903215e-05,0.0834583930496955,0.000146764407178772,1.82178992991385e-08,9.14966330065154e-08,0.847905087806216
20,6.83962692403866,1.68815774069105e-05,0.0946512715890209,0.000159897850455917,-1.45654875664032e-07,3.98016370799823e-06,0.84152888753009
21,8.12487961961902,1.55172873649579e-05,0.103078577250668,0.0001642482653506,8.18422986740518e-07,1.46733955240357e-05,0.857542483509385
22,9.64624150719429,1.66760610119264e-05,0.108165781802279,0.000168282271903175,1.61674037617328e-06,2.62091016037879e-05,0.847213888173327
23,9.94027775545417,1.55483723552499e-05,0.11144905910067,0.000126674708766648,5.10388009200021e-06,6.59994488347692e-05,0.85080517292603
24,10.1366296719328,1.44647717626668e-05,0.0953953648911363,0.000114090126117488,4.68520796048354e-06,0.000128029640400124,0.827414248397197
