"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,16.3195660586983,1.1651579100414e-05,0.0188491569922985,4.45956457553421e-05,1.17490883255025e-05,0.00268229191678565,0.756230412324354
2,15.8030707081282,9.92107892054969e-06,0.00526691963255004,2.25330802906894e-05,1.19752896480801e-05,0.00846083898119957,0.709693841507136
3,15.312384662917,8.9671006495682e-06,0.00702221808044289,5.29175402331001e-06,1.20345270102285e-05,0.0140336475073615,0.686984357868143
4,14.8263327978916,9.30018045791479e-06,0.00363516312216677,3.75979605634111e-07,1.21233952936586e-05,0.0107411451639001,0.679714937883127
5,14.7967022633077,1.23208205312492e-05,0.00768904803262233,2.18126710899669e-06,1.26126178912633e-05,0.00190266111284638,0.69566427137773
6,15.8142241872767,1.97419087400646e-05,0.0386199441970148,4.01404789489744e-05,1.21013838573767e-05,2.2938504818333e-05,0.770433209823145
7,18.0158131476687,3.08480997373605e-05,0.0958365903983908,0.000118325994400617,1.26310908192339e-05,1.32951068163644e-07,0.854544161274395
8,19.7779999341416,2.72147806220641e-05,0.154625873617508,0.000165004000510306,1.53791273938333e-05,1.78195744249467e-06,0.898124835842829
9,20.5320706470378,2.30998770054615e-05,0.156678848232753,0.000154588050797813,1.48226312678917e-05,6.11116518931553e-06,0.905235773282458
10,20.2263982892432,2.20226647528877e-05,0.135892474288064,0.000147305227412035,9.02399598434006e-06,1.75324856993221e-06,0.889214195582531
11,18.3114166408405,2.02595382385346e-05,0.123294601496366,0.00016881961945219,3.87828024376582e-06,2.19640526027418e-06,0.873257162775217
12,15.8795963159137,1.84952875170014e-05,0.124883730793607,0.000167552333600723,2.50859081662516e-06,2.72356494233072e-06,0.877072098720259
13,14.3992205044372,1.85143912696917e-05,0.124158385001313,0.000177789546616444,7.87291307959293e-07,7.68163227491946e-07,0.884580980304287
14,13.5801268187365,1.85300988003027e-05,0.129581103011831,0.000190068904594944,-3.26606759101014e-07,1.83178035701747e-06,0.87632059848225
15,13.3707345163697,1.96090376712605e-05,0.14210859847986,0.000191993656803526,-1.76321811369639e-07,1.0951040370993e-06,0.881231078629593
16,13.3659766957167,1.92352507669008e-05,0.157775294849018,0.000195193684979809,5.63240966845953e-07,4.86505872729118e-06,0.880767609945739
17,14.1923240074498,1.84089785609068e-05,0.159019818944005,0.000181702824468911,2.40580704288716e-06,0.00011496398459956,0.845982916924956
18,15.2711602577862,1.83231790477651e-05,0.154500215910862,0.000167624173871261,5.14604307448025e-06,0.000126756165860358,0.855019197801561
19,17.7135842296489,2.0397208985251e-05,0.130329841324263,0.000191521606531102,6.41832017253835e-06,5.33647447351258e-05,0.858384842880379
20,19.4785897765414,1.89774626853761e-05,0.0911369877212808,0.000203549443166746,9.22308065314884e-06,0.000600084734625484,0.832975400379596
21,19.7313551078638,1.78820710511397e-05,0.0534789100237096,0.000196541570733146,1.06476907052498e-05,0.0012233727260132,0.817173048370115
22,20.0407447522217,1.62297501353568e-05,0.0404237431153723,0.000170371507699109,1.05222311640458e-05,0.00187823742903883,0.801657850981303
23,19.7418727670401,1.42271148618718e-05,0.0410507294630922,0.000129058740898283,1.14882588816977e-05,0.00335429529831703,0.794505925737677
24,18.9967338167119,1.39227425393528e-05,0.0314883218926295,0.000103192896342636,1.17729296468456e-05,0.00163986923300776,0.79965142083653
