"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,15.5435712851726,1.05274044891153e-05,0.0693818532011727,5.90183486656541e-05,9.47069695523339e-06,0.0074181998602275,0.770290815220634
2,14.6957802416338,8.17842169467672e-06,0.054154541884236,3.57730982759807e-05,9.61064444014523e-06,0.0173482682880697,0.758317264533597
3,13.7850399765617,6.66749660353485e-06,0.0423630544244136,2.71662392960514e-05,9.02902351872836e-06,0.0292351731429762,0.748441974291193
4,13.2798895657962,6.03790573186587e-06,0.0426227164659816,1.87410099684007e-05,9.06946400762862e-06,0.0554814549772533,0.715640377321798
5,12.7970922654115,7.18594032272899e-06,0.0521820832999246,1.51112955584015e-06,9.48508047892319e-06,0.0211127956002569,0.725682750601905
6,12.3469672160089,7.19603992990794e-06,0.0547313910664085,-1.21885207363471e-05,1.04412730587373e-05,0.0255910321546878,0.716168838008164
7,12.5907917991186,8.1182693605592e-06,0.0681641204935141,-1.213865562475e-05,1.0367592106972e-05,0.0264360955359717,0.689842681070447
8,12.8361714795878,9.5888004888772e-06,0.0664423964792092,2.07163524362244e-05,9.22962486028789e-06,0.010720697723114,0.718043104478281
9,12.58388829204,9.38275962804486e-06,0.0718085895274015,3.6544835889992e-05,7.95293536695339e-06,0.00735352266889623,0.750081362950625
10,12.0091647145353,8.71669302361171e-06,0.0838071635464369,4.75514392761858e-05,6.24123213352205e-06,0.00581493726044878,0.781438012736132
11,10.9766468591205,9.13663376082974e-06,0.0848020270158127,6.59634268623103e-05,4.34213179533024e-06,0.00175944980429204,0.805187807973703
12,9.92692179423792,9.6417393470995e-06,0.0858999685686632,8.82977663903954e-05,2.41647082480966e-06,0.000231318177173016,0.843531722851056
13,9.27905823156121,9.97922373682484e-06,0.0974339044519205,0.000103027524273676,8.79081443269079e-07,0.000145695333428752,0.851949971668951
14,8.60586191262376,8.99419339167594e-06,0.109037507647842,0.000103683177410852,1.03722335588961e-06,0.000561898644664497,0.859953757957809
15,8.18574174386772,8.80716271437998e-06,0.115095824649754,0.000103334042975275,1.50779154928058e-06,0.00110476125145491,0.859725808503252
16,8.13065310019665,9.3440120842404e-06,0.10454298664063,0.00010673988144629,2.18992569492668e-06,0.00113333869555004,0.847724559962011
17,8.55717275155909,9.93900966240095e-06,0.115463201139183,0.000121123935368364,2.18786659863214e-06,0.0011378255433672,0.856189825149306
18,9.24645643068408,1.14493058918916e-05,0.124852293996733,0.000102079271093119,5.36500579353971e-06,0.000924294531396774,0.855428205986423
19,10.7133576529283,1.1980500637309e-05,0.119117588740466,8.93081679744429e-05,8.45469074216954e-06,0.00171944406141858,0.846769775465201
20,12.1981669516793,1.16400538604996e-05,0.0999050682171466,8.52894561765735e-05,1.19335252845386e-05,0.0107120454222074,0.810767408547016
21,12.8464709433426,1.26437969676495e-05,0.0916640927588182,8.71555972572802e-05,1.27737865810526e-05,0.00669067212745668,0.81369119770359
22,12.6505760472201,1.29648442265352e-05,0.0817541630663143,9.0182958711616e-05,1.26407162319545e-05,0.00520549950933789,0.811229791622948
23,12.4416838070317,1.2123645965641e-05,0.0763423165535437,6.26408649738725e-05,1.36992760671409e-05,0.00835517070672537,0.795496595627689
24,12.2313910884829,1.05922072084314e-05,0.071063511837015,5.20213502649967e-05,1.34390149494114e-05,0.0113380810891881,0.802891522737707
