"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,12.7766980478501,7.37801677353051e-06,0.029403089327365,-1.50731319195667e-05,8.77481651307794e-06,0.0284482452726115,0.582397020432396
2,12.6241230752508,6.74425922741964e-06,0.0155612920402411,-1.87235978923261e-05,8.09667587059215e-06,0.0395016426452955,0.508138310684879
3,12.492556243285,6.01397885042777e-06,0.018716516995801,-3.05229068414933e-05,8.17594793080301e-06,0.0643082001663103,0.470514757756404
4,12.739298702907,8.15400677830002e-06,0.0225627534653779,-1.89003449129705e-05,7.6736327813943e-06,0.0172761153614607,0.508343307546139
5,13.816551787597,1.2831631250831e-05,0.0476997039607834,3.88750071730142e-05,5.93445038775155e-06,0.00304210757679358,0.602101795350933
6,14.9761995241389,2.02048109251682e-05,0.103244751301055,0.000135222812781873,6.37455053627164e-06,0.000275088445463585,0.766976376981423
7,16.1712547870103,1.71012403575308e-05,0.13706120546793,0.000165387330438258,9.48620185761691e-06,0.00215376360426565,0.825121901048319
8,15.4946279045946,1.37066556164892e-05,0.142394089514208,0.000123280875310016,1.18352716540976e-05,0.00796192454223599,0.832214945325005
9,14.3302403253858,1.37951541166743e-05,0.118891678374682,0.000145576005775317,6.90015053022197e-06,0.00388838432131022,0.812236434828003
10,13.0459230908072,1.23811729205179e-05,0.123269786516488,0.000173257444188777,2.88112233964785e-06,0.00558490576173057,0.810327016729763
11,11.5287668344544,1.29078131773389e-05,0.121655517703593,0.000179976290625373,9.07508669467057e-07,0.00316999838652542,0.80287972890441
12,10.0237578020324,1.25663985201081e-05,0.127674441896896,0.000182548597628942,-1.52057145943679e-07,0.00297702272343469,0.807812642820113
13,9.19737927879603,1.31672557935701e-05,0.135598632733576,0.000193234870925154,-1.12292042829281e-06,0.00203195321976443,0.813739485061098
14,8.71498542308247,1.33597667639455e-05,0.146885927136126,0.000186537482820987,-3.53836598926762e-07,0.00348820460470975,0.802715722677696
15,8.4219341642169,1.40601680552249e-05,0.151966514006675,0.000198232855427062,-7.27538189926852e-07,0.00372864794778013,0.795952317888691
16,8.79315050421669,1.38373050196776e-05,0.144194548126756,0.000215499693693858,-1.80816364642474e-06,0.0095548476799316,0.754332563895953
17,8.77096203244898,1.44921739399688e-05,0.129480730969914,0.000211788562966727,-9.99238812578589e-07,0.00773683623332906,0.742779758327192
18,9.08295929050311,1.43108735543413e-05,0.12474436557014,0.000171158378201823,7.56408414791973e-07,0.00182301367912751,0.786734329736347
19,10.1078911479417,1.3530385789335e-05,0.105956324512889,0.000166603116969145,5.83492217389368e-07,0.00235693346687642,0.768390081833353
20,11.5886863829703,1.23126929649763e-05,0.0833292606576212,0.00016881355517252,1.44901919529477e-06,0.00757769087908357,0.736224803940311
21,13.8761503859303,1.29616813526728e-05,0.0768303431231273,0.000173563601275604,2.6587991996461e-06,0.0139349787410995,0.701543928150032
22,14.9952941574706,1.32533687336433e-05,0.0735058639686263,0.000152928022395672,4.64961153486392e-06,0.0101028214547937,0.717336057178027
23,14.6052334665416,1.37833909939679e-05,0.0596908816322142,0.000129189975285331,5.82024012910356e-06,0.00250675185025106,0.749434266677982
24,14.2044767506237,1.20195851798111e-05,0.0441541727318922,7.71709117558888e-05,7.73769294374183e-06,0.00295378787088306,0.734631022911458
