"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,12.1395932530076,1.12441427686097e-05,0.0510323157806653,4.80065518531312e-05,9.66865659625377e-06,0.00598511598575094,0.728022217968255
2,11.7184354406089,1.09547513147997e-05,0.0292902975647938,3.26074076183119e-05,9.81301691993003e-06,0.00588368028539134,0.688030366048845
3,11.6682218457108,8.31885689352963e-06,0.0225520341466835,7.35916007406809e-06,1.07586853072099e-05,0.0338204678270369,0.634005048820176
4,11.5296796998196,7.18265885505209e-06,0.0240702683722936,-1.92637100924661e-05,1.16314416313751e-05,0.0403557114384239,0.648805907111294
5,11.2704205703865,8.67596207576871e-06,0.0234093172807979,-7.5399176154128e-06,1.07536898215151e-05,0.0119076006690358,0.669253243824083
6,11.4684813059888,9.90324534735819e-06,0.0342032561654761,5.6476953928345e-07,1.00872679792538e-05,0.00395598277531738,0.699818382079593
7,11.5855767707967,8.62683978966848e-06,0.0384121212047011,3.79978905407455e-05,7.66169660930975e-06,0.00648665080093416,0.731486697369877
8,11.2707925026781,8.4979840900543e-06,0.043603787276256,2.20457972889363e-05,7.64226065498183e-06,0.00340938917821536,0.745124683811113
9,9.90038935053868,8.40010547549624e-06,0.0561362442203032,3.74300061434247e-05,6.56302711756684e-06,0.00156300221808541,0.79750749105247
10,8.94989871797805,8.70301460795437e-06,0.0639161084540604,4.63926998808978e-05,4.92386849387744e-06,0.00105747094695506,0.789982767070263
11,7.85789046036215,8.06958062407574e-06,0.0798937192723227,7.92330651123372e-05,2.39263165460713e-06,0.000859600032644575,0.835419360901445
12,6.81446926349502,9.00223001058763e-06,0.0892790557404762,9.94202516459528e-05,8.82349075025259e-07,0.000459106835251911,0.837293780802273
13,6.02448802069463,9.3960480481251e-06,0.102982087125071,0.000115650080140721,-2.39184662719787e-07,0.000666650024817205,0.835687625126343
14,5.61284465907821,9.08324210387303e-06,0.101935423498869,0.000124211673605097,-6.13894429335642e-07,0.00104891778068863,0.834892458165678
15,5.06268804627538,8.75890191630046e-06,0.0998638006623999,0.000123652882159435,-3.86241332036613e-08,0.00258202903042746,0.822246429517502
16,4.80839758588979,8.71784964988489e-06,0.101784565836246,0.000123478000392768,4.66462798116687e-07,0.00644092180945508,0.799012706453223
17,5.04982749791012,9.40226197913693e-06,0.0956988289363658,0.000135645539142092,8.3227381609928e-08,0.0051102935579848,0.788903193383497
18,5.42206718827975,1.12127439177658e-05,0.085774183695128,0.00011779403921321,9.3094765606917e-07,0.000596326909739468,0.794062085140621
19,6.34425165760077,1.05628719579263e-05,0.0751078747146679,0.00012268004409161,6.60610189158545e-07,0.00146744439172372,0.769332907865854
20,7.4319207397947,1.04402716041666e-05,0.0785509620465999,0.000141051519125494,8.58508141525332e-07,0.00475009468859703,0.759568058501652
21,9.01081513267435,9.84676544870095e-06,0.0800802312917769,0.000136524152772592,2.22487134194554e-06,0.011160558554263,0.755588659005708
22,9.81578238648819,1.24601903240184e-05,0.074526321185687,0.000139794709128045,2.74773651191661e-06,0.00112591024565235,0.788202734226085
23,9.88273674568584,1.13756179767278e-05,0.0733670056673287,8.19496177862823e-05,6.04045658508379e-06,0.00196102859161158,0.776753700876843
24,10.0050942369349,9.96925757244346e-06,0.0627045646980869,8.05949055141801e-05,5.14683488215259e-06,0.00449776481397847,0.75024531402971
