"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,16.6840220751481,8.72510932900722e-06,0.00823462966134431,2.41993851400549e-05,9.16888584668752e-06,0.00360709108245443,0.727788331532882
2,15.9812945993277,6.88072108190512e-06,-0.000929440001387876,1.0089925856675e-05,8.81433187609854e-06,0.0111562568100817,0.690306148517479
3,15.2509792821156,6.12673090356165e-06,-0.0113357155832872,8.31344089986819e-06,8.31126968439061e-06,0.0189131803105591,0.652072782437393
4,14.4177327729121,6.7044686190031e-06,-0.00752664638859208,-8.95090865815517e-06,9.42185919104268e-06,0.0123933407650779,0.655012245630137
5,14.0034423208639,8.57478788685088e-06,-0.00537772388606814,-1.08403913764205e-05,9.75309173610002e-06,0.00273506591724855,0.666439924392731
6,14.4504360714475,1.62366737248153e-05,0.00943199519039694,6.43494359323179e-06,1.0044612201691e-05,4.71067097989663e-06,0.747903349918371
7,16.1822561843961,2.99915157773645e-05,0.0576437720984441,6.55679703407759e-05,9.84630304820355e-06,3.75375001940901e-09,0.832932364258554
8,19.1294560264102,2.76687938973949e-05,0.109753847362172,0.000103505518330238,1.17942271051099e-05,6.25400547457932e-08,0.874954677333247
9,20.4512325433432,2.37291379574556e-05,0.122796026054502,9.39288768142799e-05,1.51497126008759e-05,1.48132297369111e-06,0.886845266706868
10,20.4793442640468,2.29310960519487e-05,0.104423596921175,9.72690740224465e-05,1.29433886864379e-05,1.20158507668621e-06,0.876262102204504
11,20.3429079370719,2.30940202160907e-05,0.0956816654809955,9.99171732684769e-05,9.66680825760798e-06,3.17057264895399e-07,0.865024739927968
12,19.6339514098074,2.14602777428365e-05,0.0887086289889665,0.000115832902123121,7.25409588895359e-06,1.37164154029351e-07,0.873812224476446
13,18.6665257693355,2.15272147215266e-05,0.0915212098963244,0.000121057103835403,5.84250723248078e-06,1.95605057272531e-08,0.886199579449616
14,17.9846368317046,2.19656725677766e-05,0.0950836307734479,0.000130749017705625,5.23603712377089e-06,1.05472121668159e-08,0.891074703584739
15,18.5220817901661,2.30495653863545e-05,0.10141659801944,0.00013870407344072,5.37181518342011e-06,1.20640827088439e-08,0.890576518594744
16,19.6663202721038,2.54432415817293e-05,0.110343456778432,0.000149885606741286,6.52856878266822e-06,5.95667342585941e-09,0.897754725850189
17,22.5402588607336,2.43376222163205e-05,0.109658716208136,0.000140090680767504,8.57675288294975e-06,1.5024882705278e-07,0.883048184891549
18,24.5884793169446,2.38755375682275e-05,0.0897830638361873,0.000118408230219351,1.10059587103372e-05,4.11413706158817e-07,0.872786039230429
19,24.6102441966521,2.43250594500999e-05,0.0695771288227659,0.000100984144998862,1.15412453631333e-05,2.55420471121659e-07,0.860919592168506
20,24.1920157343731,2.1685388105445e-05,0.0518818928394805,8.57043211732752e-05,1.09986535659782e-05,1.77082519210028e-06,0.832762939723762
21,23.1555578686241,1.76149545846906e-05,0.036674395062189,8.79824344033472e-05,9.95770662474175e-06,1.50855353958104e-05,0.821772963628765
22,22.1968698331369,1.5963667438796e-05,0.0286213236122586,8.7566258207867e-05,8.4260044744194e-06,3.19788647177485e-05,0.802346963932649
23,20.8996233964421,1.47418699096668e-05,0.0261770437111056,6.38971202398242e-05,9.34642215031429e-06,4.32920233342736e-05,0.801598093737083
24,19.8644779428597,1.4023012599637e-05,0.0235740567161207,5.26837046307701e-05,9.19940772893664e-06,2.89411620729321e-05,0.804694901653324
