"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,16.4549360366904,9.86352394239646e-06,0.00626985334871552,4.32061017070687e-05,9.03359485578157e-06,0.00563262572965801,0.694050540706651
2,16.0210035913954,8.40590250711278e-06,-0.00773784875107845,2.52484809059732e-05,9.32669617372249e-06,0.00957371327710374,0.671047986749277
3,15.684883714109,7.74589657194125e-06,-0.00636166939660019,2.4263955833421e-05,8.11534797426785e-06,0.0132697891027121,0.6339552086879
4,15.5587604572145,8.54733896246913e-06,-0.0011746424841835,2.52080352536009e-05,7.62096491759485e-06,0.0054564755683518,0.646653868166576
5,15.8165868306213,1.32276060170769e-05,0.0189216806295426,3.84470184697417e-05,7.80684117556045e-06,0.000235101725325763,0.707583275654522
6,16.7427856526021,2.36644054804247e-05,0.0712667787232335,6.09727699490072e-05,1.02264722512713e-05,1.77912795514207e-06,0.799274382898407
7,18.9916874877082,2.38824318344702e-05,0.127225958661295,7.78260067229119e-05,1.44340651731163e-05,1.59967596722115e-05,0.842785218024228
8,20.3339417678117,2.15548762185385e-05,0.147785495499383,9.06719254455346e-05,1.72424370953666e-05,3.99931260052004e-05,0.880624301734604
9,20.3489967072278,2.06127268666387e-05,0.121598639339248,0.000101255635164563,1.53369669539417e-05,1.37444562703766e-05,0.887504238873318
10,20.3278762604801,1.88425594057173e-05,0.106578866404479,0.000113584215194805,1.08978288681346e-05,1.03015160970802e-05,0.878899374935611
11,18.8412497738653,1.76734396786673e-05,0.0967358232012148,0.000129601287357735,7.4204672333346e-06,7.2455838744975e-06,0.873569183191881
12,17.1405596461575,1.71335046972198e-05,0.096483725392348,0.000140274656229001,4.95898906179083e-06,6.02140442595049e-06,0.868067367499707
13,16.160751380094,1.74160456333794e-05,0.105028973851307,0.000158392034821303,3.01585812598349e-06,2.89787290109564e-06,0.8747756181733
14,15.7678411436817,1.78113914938407e-05,0.120396163915368,0.000167701370501691,2.53271248648727e-06,1.23670844510405e-06,0.890355967284427
15,15.8836155909089,1.8903543301435e-05,0.133066398228709,0.00018087652530526,2.67971944336228e-06,1.93528137167238e-06,0.889219380333704
16,16.9929251625047,1.91756317704799e-05,0.131790649806322,0.00020066965163065,2.48333370066756e-06,7.58280181004831e-06,0.878291291242825
17,18.4834144256888,1.88725130026378e-05,0.114244360819237,0.000194493224966316,5.16565672953021e-06,4.35980339266384e-05,0.862571572843604
18,20.5574631893158,1.88374817823943e-05,0.0894387857448282,0.000194795167562738,7.60614578467637e-06,7.801976575954e-05,0.8594384249169
19,22.3125897393236,1.69964699657364e-05,0.0702498634580253,0.000175330559105544,9.40827876847816e-06,0.000637860146120208,0.831048244279258
20,22.5080980414615,1.4379791202639e-05,0.048726536914569,0.000161557255750001,9.03680950596183e-06,0.00253708355995909,0.805654773778298
21,21.7929000715404,1.36130017002291e-05,0.0376312464625318,0.000117711538477616,1.04363358540472e-05,0.00212606231021703,0.797288008320198
22,20.8126710199868,1.32284253018461e-05,0.0340320065288784,0.000104035009651702,1.03228463156158e-05,0.00150494426133352,0.799413812727929
23,19.8863674931782,1.24520713427173e-05,0.0291869586798176,9.6545743935921e-05,9.17974013834634e-06,0.0015265068444612,0.786605616201472
24,19.1931064233095,1.10949109106162e-05,0.0184664716589403,7.55885823855562e-05,9.23117960076765e-06,0.00322842372140232,0.755967940858834
