"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,14.9469361590425,8.69369000578253e-06,0.026169964425359,6.20321905278446e-05,7.8266070722617e-06,0.00458112038285619,0.774627321323046
2,14.3893594275491,7.95923560620902e-06,0.0114298874240489,5.00371670385819e-05,7.89674411911997e-06,0.00602984714929991,0.751951806416607
3,13.6940269785734,7.01318266522046e-06,0.00945075506964371,2.86925334260679e-05,8.55886211927255e-06,0.0194570945822953,0.698858396374144
4,13.190145981707,6.60189657734732e-06,0.00983778647666139,1.98519157491701e-05,8.89104807940695e-06,0.0288466274577605,0.682470866636599
5,12.8838306510286,6.71494211806415e-06,0.0082715150247688,1.10116521011796e-05,9.31817116282545e-06,0.0358961294731834,0.647661541692829
6,13.1015906721773,8.13209350705378e-06,0.0165281739040045,-1.98984003505698e-07,9.91175865323152e-06,0.0167429205503105,0.645515341642739
7,13.7114032284386,9.34281232227351e-06,0.0233707687319101,-5.98806840263865e-07,1.02176416253765e-05,0.00733339803287872,0.670378856679577
8,13.7932894754906,8.98420992497163e-06,0.0350829040436025,9.22135031024773e-06,1.06336277377263e-05,0.0112880398991839,0.707683509041992
9,13.0904345797541,9.18265147708515e-06,0.0530262300914291,1.30538627165277e-05,1.05980662696514e-05,0.0061034440683405,0.763350964299805
10,13.1170238512215,8.50119888862798e-06,0.0633614666391966,3.28753660666992e-05,7.66045074351065e-06,0.00235576173466059,0.805329960099715
11,12.4929966355561,9.1653045512975e-06,0.075134191195594,5.22746140462676e-05,4.93096198460305e-06,0.000421211464806174,0.826453043922301
12,11.3582888997161,9.99261186076087e-06,0.0843065535827396,7.55524685141268e-05,2.79177797882683e-06,1.37622271591861e-05,0.875507398215042
13,10.5420651552516,1.04043831926438e-05,0.101162731454819,8.69546402121101e-05,1.97431439622428e-06,1.09908756343157e-05,0.886291247964702
14,9.85676836466957,1.12453119655494e-05,0.105297472380381,8.0484526770428e-05,3.18422095723206e-06,5.29951996454377e-06,0.892338714184725
15,9.65710202506413,1.14285711821525e-05,0.110187532440278,8.24273267334595e-05,3.75963937997971e-06,2.67622655302213e-05,0.879441573423644
16,10.0400166900047,1.2233121592148e-05,0.110996349244523,0.000100655392362733,3.34990353921985e-06,1.53267964812673e-05,0.884715218348461
17,10.9763636251526,1.36282029843679e-05,0.119152097140055,0.000107450907451322,4.65590179070914e-06,2.49947208724889e-05,0.88006706917755
18,12.3275446290845,1.30194555965447e-05,0.110272309761752,0.000111595299324109,7.30187020287428e-06,0.000239115858345554,0.872257960638315
19,13.841522383115,1.1132539042027e-05,0.0959419511473424,0.000132689096542461,7.71947605049918e-06,0.00290588600775844,0.857970757692266
20,14.3970099114647,1.15306845386967e-05,0.086561482981741,0.000111159444905503,8.97961658513616e-06,0.00106030914731396,0.867459994122098
21,14.4134593677745,1.12143839894951e-05,0.078557965989006,7.60938177748601e-05,9.78437215007504e-06,0.000997349578242839,0.85242676920787
22,13.8740385174056,1.08093938542979e-05,0.0655801268960798,6.17628668161529e-05,1.05315144279255e-05,0.000624428991085717,0.859598216779448
23,13.5314315094577,1.05651134912927e-05,0.05679613117151,6.939083407636e-05,9.36258312007124e-06,0.000502126202617915,0.855885350014377
24,13.1622597106547,8.88970170574346e-06,0.0468099160877003,5.0164013995919e-05,9.42958506077935e-06,0.00128144549969827,0.846764763399086
