"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,12.9125131374534,1.09033854692751e-05,0.0211289003555594,3.54320681961689e-05,1.03284884331894e-05,0.00283825944798595,0.733181523032068
2,13.2522170741673,1.02684983714381e-05,0.00818569351443265,3.32457184823994e-05,8.68359513299537e-06,0.00373528515697886,0.673804398938793
3,12.9991891301599,9.0152755865119e-06,0.00669236157411322,1.76022178065551e-05,8.29204750052114e-06,0.00778513052197312,0.625726599528432
4,12.8130937560764,1.08147951141915e-05,0.00728089635382967,1.63854874315e-05,8.12885988636157e-06,0.00099269553609375,0.662225183569427
5,13.4276283073409,1.68020866305173e-05,0.0290234371803868,3.66682741498473e-05,7.91530354218581e-06,1.85288764228565e-05,0.727996084198128
6,14.812696550227,2.72782442214412e-05,0.0863382931083379,9.7115106505008e-05,8.86484576490046e-06,1.09211839007296e-07,0.83498850315198
7,17.1239055303291,2.37769130483927e-05,0.14202415747684,0.000135875960578046,1.22664243628698e-05,5.02777136388294e-06,0.879675283028988
8,17.2867529841375,2.11315086552281e-05,0.14745555882817,0.000135547499390855,1.50228094229901e-05,9.45605580352261e-06,0.906393126300103
9,17.4764074433689,1.92903679962411e-05,0.124370485890495,0.000128821806023386,1.16060577090584e-05,1.25660733005977e-05,0.890767096541931
10,16.3381436782533,1.74585672539801e-05,0.11561204678558,0.000151713875719407,6.33817464599522e-06,1.80935493927776e-05,0.876718878625027
11,14.6586718274487,1.73347386668241e-05,0.118277986861043,0.000165637613471665,3.26985688465787e-06,5.36012510838352e-06,0.880958509955424
12,12.7341234322239,1.85434404742309e-05,0.121485877914382,0.000166854510368543,1.9969402165811e-06,9.02552686466542e-07,0.883712781702222
13,11.3119178403357,1.82398657459002e-05,0.137055264159215,0.000171557047087657,1.15779296185205e-06,1.30038169690316e-06,0.887033785305813
14,10.4386556148848,1.90966166475177e-05,0.141431778092886,0.000181176629142485,1.2155009185268e-06,9.24718322573981e-07,0.890468082569247
15,10.1576575274141,2.11219004561174e-05,0.148700264140328,0.000193356059939603,1.25328914752867e-06,9.18121579002626e-07,0.883545201911541
16,10.7394429485394,2.11300351654175e-05,0.151254333572668,0.000195144933501295,1.09309032273271e-06,1.04390276039455e-05,0.852766939187935
17,10.852079216045,2.03163636616904e-05,0.146458402469377,0.000179680439779495,3.2795099218565e-06,1.86319434877519e-05,0.856099180836786
18,11.8622896553385,2.18886916455443e-05,0.131387095881145,0.00019475074704352,3.41109298790177e-06,1.70903639318649e-06,0.876515803988842
19,14.5502018222105,2.08107318569077e-05,0.119733771792096,0.00020972299693576,4.09391452186144e-06,2.41971206165088e-05,0.855843541485814
20,16.4679696162255,1.89653623514623e-05,0.0802048308185373,0.000234501970332871,4.95911799495151e-06,0.000247424711269205,0.832789696893005
21,16.2354689051722,1.83003116310662e-05,0.0591456406487795,0.00022153696821865,6.41126930290739e-06,0.000173007720098724,0.842168677218505
22,15.598613200008,1.69650442762957e-05,0.0566375586612443,0.000169797971955024,9.06333687577283e-06,0.00024117629390282,0.840481464210602
23,14.8626889393347,1.52095121603645e-05,0.054780604633025,0.000118031201613385,1.07936851984891e-05,0.000363296685442106,0.835482102359929
24,14.5868026325033,1.34894146903168e-05,0.0411250717609232,8.97723877868639e-05,1.07849713045109e-05,0.00106363301483745,0.802876439560706
