"HH","intercept","hvy_traf_ld_50","mjr_rd_len_25","rd_len_1000","rd_len_5000","pval","r2"
1,11.5408487918252,1.29611409528337e-05,0.0273816419116734,0.000110817782913476,1.01467605970817e-05,0.00357103247757795,0.777486674190593
2,12.0021641032948,1.08689271179782e-05,0.0190656549865999,8.46731652557067e-05,9.3647866986214e-06,0.00534216361511943,0.761072118293041
3,11.879505576747,8.51419819671577e-06,0.0112826459364833,6.4199924378087e-05,9.41689711901151e-06,0.0170431937902434,0.734848597795449
4,11.2319741946228,7.57195732440111e-06,0.0162318852975031,4.01952621255164e-05,9.88886119945835e-06,0.0272606655323235,0.719379926100637
5,11.0979698796972,9.95476178841807e-06,0.00828787501578844,5.11379719830504e-05,8.64560412744754e-06,0.00607000200956095,0.69396394775222
6,11.2068371749169,1.12414372700437e-05,0.0275317458709328,3.75713426317945e-05,9.69356248780756e-06,0.00313302865274847,0.714843846339234
7,12.0330004357523,1.14245482702304e-05,0.0388070844325973,4.79517209273767e-05,9.42491581145473e-06,0.00421409428397322,0.720016792091514
8,11.9669467414046,1.13520547823947e-05,0.0490398667821097,7.93487424662197e-05,7.45143847450755e-06,0.00191791800032565,0.773208629932181
9,11.9453419927983,1.00655262701034e-05,0.0610957862158498,8.54026055142549e-05,6.1700652509015e-06,0.00202351783277879,0.803513697206553
10,11.4001881059769,9.7779815037631e-06,0.0675119945458709,9.60666585121687e-05,3.54921989991235e-06,0.00277560974137228,0.77427203622183
11,10.3292063937868,1.19755474753204e-05,0.0832498636796542,0.000102513349661258,1.81934587621355e-06,4.91955436317278e-05,0.830847968865591
12,8.65816536101554,1.38006541755282e-05,0.0923380367078349,0.000123270349109144,5.21381000258095e-07,4.6114292730649e-06,0.853773217967333
13,7.45582948717303,1.43503025231948e-05,0.104745602658155,0.000158037063912192,-1.35139143756317e-06,2.56384182850234e-06,0.873101088252896
14,6.73499572551735,1.45285552087282e-05,0.115777701401434,0.000161709754203133,-1.68208430920031e-06,6.231998373938e-06,0.866794384833758
15,6.16141906616682,1.6043170945533e-05,0.11050083008652,0.00017143496000004,-1.52269981683173e-06,1.189495174777e-05,0.842217350451645
16,5.92883463070498,1.75114973978798e-05,0.120165820041519,0.000186768113894664,-2.25905567822793e-06,4.28267481039446e-06,0.85223849239441
17,6.25731715905114,2.02644966829082e-05,0.121974480295134,0.000203590163137992,-2.38874446576936e-06,1.26401715160755e-06,0.852687372647866
18,7.39471181039075,2.13748875421878e-05,0.108424322223696,0.000225208756544008,-2.42678896205548e-06,4.57771438268617e-07,0.860963724493072
19,9.64570088197719,1.8351248107278e-05,0.143701478435381,0.000245198640927359,-8.46508119033216e-07,0.000455129415626426,0.820025260500309
20,11.4181080770659,1.9202954687123e-05,0.136030910713269,0.000247593689514745,3.36232741183582e-06,0.00147579023123022,0.807052483358365
21,11.3085741638045,1.83188127266705e-05,0.107530364008337,0.000217534499492057,8.42892063001626e-06,0.00154406511079288,0.825681640197675
22,10.7451405298056,1.78196142255395e-05,0.0945089451590678,0.00015153615923574,1.30935047707138e-05,0.000873731650295611,0.840431901356374
23,10.8307305586628,1.71737233033193e-05,0.0803640890618421,0.000141278179673961,1.16026017711405e-05,0.000402441852817672,0.842558472203826
24,10.7094436324044,1.53789808943353e-05,0.0697915961903943,0.000101400844167867,1.2340316091329e-05,0.000859591145364919,0.823532298831993
